"","net_size","t","Method","Graph","MC_Rate","mc_se","Dist","dist_se","count"
"245",54,0,"Omni","Graph 1",0.0181481481481481,0.00307294035274179,5.36774342345532,0.0492156632539607,200
"246",54,0,"Omni","Graph 2",0.0140740740740741,0.00277308990868265,5.43149127252915,0.0500624105904326,200
"247",54,0,"Omnibar","Graph 1",0.0117592592592593,0.00300264667392132,5.955880337836,0.0527080386843224,200
"248",54,0,"Omnibar","Graph 2",0.0117592592592593,0.00300264667392132,5.955880337836,0.0527080386843224,200
"249",54,0.1,"Abar","Graph 1",0.0107407407407407,0.00227888550247481,5.51907094476474,0.0493102478376594,200
"250",54,0.1,"Abar","Graph 2",0.0107407407407407,0.00227888550247481,5.51907094476474,0.0493102478376594,200
"251",54,0.1,"ASE","Graph 1",0.0593518518518519,0.00522349237384659,3.93505282057651,0.0420010401198976,200
"252",54,0.1,"ASE","Graph 2",0.118148148148148,0.00650114005791677,3.23488625480272,0.0429150463647146,200
"253",54,0.1,"Omni","Graph 1",0.0187962962962963,0.00309394748603063,5.1597568218813,0.0480608301126737,200
"254",54,0.1,"Omni","Graph 2",0.0280555555555556,0.00357581523063308,4.7740792131832,0.0414649728688799,200
"255",54,0.1,"Omnibar","Graph 1",0.0103703703703704,0.00204905680068383,5.47759690341896,0.050008433863127,200
"256",54,0.1,"Omnibar","Graph 2",0.0103703703703704,0.00204905680068383,5.47759690341896,0.050008433863127,200
"257",54,0.2,"Abar","Graph 1",0.0193518518518518,0.0031650380070098,5.09599061151528,0.0501917123290863,200
"258",54,0.2,"Abar","Graph 2",0.0193518518518518,0.0031650380070098,5.09599061151528,0.0501917123290863,200
"259",54,0.2,"ASE","Graph 1",0.0610185185185185,0.00568706785574835,3.89945495011315,0.0442362132224,200
"260",54,0.2,"ASE","Graph 2",0.200833333333333,0.00840268052147393,2.5512424103021,0.0468865955076068,200
"261",54,0.2,"Omni","Graph 1",0.0281481481481482,0.00413661953848406,4.93239639184856,0.0460169713945077,200
"262",54,0.2,"Omni","Graph 2",0.0563888888888889,0.00551085919241353,4.2709707297607,0.042683765338169,200
"263",54,0.2,"Omnibar","Graph 1",0.0244444444444444,0.00368214458555845,5.07769802364034,0.0490872026668846,200
"264",54,0.2,"Omnibar","Graph 2",0.0244444444444444,0.00368214458555845,5.07769802364034,0.0490872026668846,200
"265",54,0.3,"Abar","Graph 1",0.0440740740740741,0.0048439326275147,4.62708717036052,0.0453056116475313,200
"266",54,0.3,"Abar","Graph 2",0.0440740740740741,0.0048439326275147,4.62708717036052,0.0453056116475313,200
"267",54,0.3,"ASE","Graph 1",0.0712037037037037,0.0067463973858258,3.89210331686085,0.0421724475557581,200
"268",54,0.3,"ASE","Graph 2",0.292108691606179,0.00826017693510389,1.83238925372871,0.0449340593475825,200
"269",54,0.3,"Omni","Graph 1",0.0352777777777778,0.00429328670491592,4.68025699209558,0.0441510538130458,200
"270",54,0.3,"Omni","Graph 2",0.0911111111111111,0.00669287814081745,3.77041605640267,0.0374440751132608,200
"271",54,0.3,"Omnibar","Graph 1",0.045,0.00518410493652871,4.61950592343925,0.0453619310440625,200
"272",54,0.3,"Omnibar","Graph 2",0.045,0.00518410493652871,4.61950592343925,0.0453619310440625,200
"273",54,0.4,"Abar","Graph 1",0.0617592592592593,0.0057089643354274,4.1324326884874,0.0463260124078935,200
"274",54,0.4,"Abar","Graph 2",0.0617592592592593,0.0057089643354274,4.1324326884874,0.0463260124078935,200
"275",54,0.4,"ASE","Graph 1",0.0575,0.00510351095949738,3.93082177959867,0.0432410790245696,200
"276",54,0.4,"ASE","Graph 2",0.345277777777778,0.00714076371074842,1.32745128781497,0.0451579048493075,200
"277",54,0.4,"Omni","Graph 1",0.042962962962963,0.0051778683320236,4.45741669096854,0.0478813357974706,200
"278",54,0.4,"Omni","Graph 2",0.130925925925926,0.00786497390011413,3.27169797911611,0.0369095729788859,200
"279",54,0.4,"Omnibar","Graph 1",0.0708333333333333,0.00619697766724772,4.19019332376421,0.0453318615376708,200
"280",54,0.4,"Omnibar","Graph 2",0.0708333333333333,0.00619697766724772,4.19019332376421,0.0453318615376708,200
"281",54,0.5,"Abar","Graph 1",0.0817592592592593,0.00614789573747663,3.80025676142135,0.0428800889745865,200
"282",54,0.5,"Abar","Graph 2",0.0817592592592593,0.00614789573747663,3.80025676142135,0.0428800889745865,200
"283",54,0.5,"ASE","Graph 1",0.057962962962963,0.00537953997458057,3.9401324563427,0.0423976648232977,200
"284",54,0.5,"ASE","Graph 2",0.381574074074074,0.00553052475779782,0.98817280879573,0.0349475457226507,200
"285",54,0.5,"Omni","Graph 1",0.0506481481481481,0.00495806441613189,4.24429556067197,0.0432980211546692,200
"286",54,0.5,"Omni","Graph 2",0.187685185185185,0.00830944266546482,2.92662353551333,0.0347574532342369,200
"287",54,0.5,"Omnibar","Graph 1",0.0836111111111111,0.00624205832335282,3.87978244022658,0.0438286537566996,200
"288",54,0.5,"Omnibar","Graph 2",0.0836111111111111,0.00624205832335282,3.87978244022658,0.0438286537566996,200
"289",54,0.6,"Abar","Graph 1",0.126481481481482,0.00756293773430018,3.39545837556254,0.0450839620662194,200
"290",54,0.6,"Abar","Graph 2",0.126481481481482,0.00756293773430018,3.39545837556254,0.0450839620662194,200
"291",54,0.6,"ASE","Graph 1",0.0663888888888889,0.00569385145328416,3.87397187073889,0.0424914996941055,200
"292",54,0.6,"ASE","Graph 2",0.412685185185185,0.00464194806355711,0.703094126420175,0.0245967604543132,200
"293",54,0.6,"Omni","Graph 1",0.0617592592592593,0.00476812662031436,3.99763079515026,0.0476932375296089,200
"294",54,0.6,"Omni","Graph 2",0.226481481481481,0.00802354475528063,2.567618547137,0.0351928109178902,200
