"","net_size","t","Method","Graph","MC_Rate","mc_se","Dist","dist_se","count"
"25",25,0.3,"Abar","Graph 1",0.1398,0.0079798615874446,3.00209196468279,0.0740468583870709,200
"26",25,0.3,"Abar","Graph 2",0.1398,0.0079798615874446,3.00209196468279,0.0740468583870709,200
"27",25,0.3,"ASE","Graph 1",0.1946,0.00881149317994978,2.56749481106757,0.0616374122435097,200
"28",25,0.3,"ASE","Graph 2",0.3126,0.00787376535747177,1.38021785474663,0.0491191829758495,200
"29",25,0.3,"Omni","Graph 1",0.139,0.00781668104201283,3.04901162284143,0.0754713156845909,200
"30",25,0.3,"Omni","Graph 2",0.1864,0.00815152974514168,2.4344724492017,0.0565444323488577,200
"31",25,0.3,"Omnibar","Graph 1",0.1474,0.0081275139133723,2.96444658676125,0.0745306037559088,200
"32",25,0.3,"Omnibar","Graph 2",0.1474,0.0081275139133723,2.96444658676125,0.0745306037559088,200
"33",25,0.4,"Abar","Graph 1",0.1806,0.00917929722187038,2.57939049462146,0.0701984640090634,200
"34",25,0.4,"Abar","Graph 2",0.1806,0.00917929722187038,2.57939049462146,0.0701984640090634,200
"35",25,0.4,"ASE","Graph 1",0.1966,0.0092351850666936,2.50154927608999,0.0578808596878519,200
"36",25,0.4,"ASE","Graph 2",0.3546,0.00718836301351499,1.09071507389116,0.0417144833146715,200
"37",25,0.4,"Omni","Graph 1",0.1724,0.00928559699522808,2.70012958177511,0.0705130359688654,200
"38",25,0.4,"Omni","Graph 2",0.2258,0.00895728557232159,2.03138607105711,0.059414265005655,200
"39",25,0.4,"Omnibar","Graph 1",0.1886,0.00942733116339516,2.52996201522158,0.070584454036614,200
"40",25,0.4,"Omnibar","Graph 2",0.1886,0.00942733116339516,2.52996201522158,0.070584454036614,200
"41",25,0.5,"Abar","Graph 1",0.1912,0.00874960444188463,2.38438908148238,0.0645426291916034,200
"42",25,0.5,"Abar","Graph 2",0.1912,0.00874960444188463,2.38438908148238,0.0645426291916034,200
"43",25,0.5,"ASE","Graph 1",0.186,0.0086413752860393,2.56304655419747,0.0586716963232367,200
"44",25,0.5,"ASE","Graph 2",0.375,0.00625384303958926,0.968432378423206,0.0351767338568025,200
"45",25,0.5,"Omni","Graph 1",0.1762,0.00883163568908521,2.6086560975702,0.0659374568787974,200
"46",25,0.5,"Omni","Graph 2",0.247,0.00806225774829855,1.83726867549183,0.0501905983145398,200
"47",25,0.5,"Omnibar","Graph 1",0.202,0.00877525071582733,2.37108899627248,0.0636670437867976,200
"48",25,0.5,"Omnibar","Graph 2",0.202,0.00877525071582733,2.37108899627248,0.0636670437867976,200
"49",25,0.6,"Abar","Graph 1",0.2294,0.00882425847810694,2.07210595816608,0.0626329903187833,200
"50",25,0.6,"Abar","Graph 2",0.2294,0.00882425847810694,2.07210595816608,0.0626329903187833,200
"51",25,0.6,"ASE","Graph 1",0.1942,0.00857903252091836,2.56543510816828,0.0613533767088534,200
"52",25,0.6,"ASE","Graph 2",0.388,0.00566395639196227,0.801635773720775,0.0314291502264772,200
"53",25,0.6,"Omni","Graph 1",0.1966,0.00921775651532841,2.42805832874778,0.0693360789409336,200
"54",25,0.6,"Omni","Graph 2",0.2796,0.00790897969392986,1.58974953809865,0.0532467859070877,200
"55",25,0.6,"Omnibar","Graph 1",0.2238,0.0087447213079531,2.11938245357187,0.0658194691542917,200
"56",25,0.6,"Omnibar","Graph 2",0.2238,0.0087447213079531,2.11938245357187,0.0658194691542917,200
"57",25,0.7,"Abar","Graph 1",0.2524,0.00869535774026323,1.86923886766637,0.0562150969938615,200
"58",25,0.7,"Abar","Graph 2",0.2524,0.00869535774026323,1.86923886766637,0.0562150969938615,200
"59",25,0.7,"ASE","Graph 1",0.2008,0.00898445335065247,2.48743603173812,0.0643533028858087,200
