"","net_size","t","community","graph","Method","mse_se","average_mse"
"140",250,0.8,"Community 2","Graph 1","Omnibar",8.33262658650164e-06,0.015979016341186
"141",250,0.8,"Community 2","Graph 2","Abar",8.81789136411168e-06,0.021406608755376
"142",250,0.8,"Community 2","Graph 2","ASE",8.29172901000317e-05,0.066644050990945
"143",250,0.8,"Community 2","Graph 2","Omni",9.4786430984042e-06,0.00965214034488936
"144",250,0.8,"Community 2","Graph 2","Omnibar",8.31430008792306e-06,0.0205096523043579
"145",250,0.9,"Community 1","Graph 1","Abar",1.19688773028939e-05,0.0212574348213789
"146",250,0.9,"Community 1","Graph 1","ASE",8.82276152274725e-06,0.00810732004573671
"147",250,0.9,"Community 1","Graph 1","Omni",7.60412471172514e-06,0.00657296142575084
"148",250,0.9,"Community 1","Graph 1","Omnibar",9.1781356515921e-06,0.0187106571468322
"149",250,0.9,"Community 1","Graph 2","Abar",1.08849798743588e-05,0.0293419767058123
"150",250,0.9,"Community 1","Graph 2","ASE",5.55929505465411e-05,0.0639225178039092
"151",250,0.9,"Community 1","Graph 2","Omni",1.12622190337856e-05,0.0121341367811511
"152",250,0.9,"Community 1","Graph 2","Omnibar",1.02349637559357e-05,0.0293469552474132
"153",250,0.9,"Community 2","Graph 1","Abar",1.17815583723351e-05,0.0208356193814709
"154",250,0.9,"Community 2","Graph 1","ASE",8.6355222455265e-06,0.00805546441369286
"155",250,0.9,"Community 2","Graph 1","Omni",7.58757062593079e-06,0.00657396925286552
"156",250,0.9,"Community 2","Graph 1","Omnibar",9.09181872171136e-06,0.0187924518510657
"157",250,0.9,"Community 2","Graph 2","Abar",1.07323241405826e-05,0.0299025341558911
"158",250,0.9,"Community 2","Graph 2","ASE",5.44592636581333e-05,0.0636908559139862
"159",250,0.9,"Community 2","Graph 2","Omni",1.10759461974826e-05,0.0120932872791959
"160",250,0.9,"Community 2","Graph 2","Omnibar",1.00243988040869e-05,0.0292283785228468
