"","node_id","graph","method","c","average_mse","average_estimate","average_bias","empirical_var","theo_bias","theo_var","theo_mse"
"6088","36","Graph 1","Omnibar",0.735391052434009,0.00547875093945155,0.656128229366758,-0.0509785518197893,0.00288282101482343,-0.0484246980522945,0.00276006625206665,0.00510501763352255
"6089","36","Graph 1","Omnibar",0.791959594928933,0.00423685881806205,0.665148532755526,-0.041958248431022,0.0024788430497124,-0.0377825566048766,0.00271738540048429,0.00414490698408499
"6090","36","Graph 1","Omnibar",0.848528137423857,0.00355589858187431,0.67415210707656,-0.0329546741099871,0.00247236039657543,-0.0273028919337328,0.00266727280687734,0.00341272071482243
"6091","36","Graph 1","Omnibar",0.905096679918781,0.00287647021977009,0.686775007926735,-0.0203317732598128,0.00246555477065231,-0.0169804501141834,0.0026101818303673,0.00289851751644757
"6092","36","Graph 1","Omnibar",0.961665222413705,0.00259335575712387,0.694640330812792,-0.0124664503737557,0.00244038375595852,-0.00680947998382345,0.00254657492188572,0.00259294393953581
"6093","36","Graph 1","Omnibar",1.01823376490863,0.00219936708776324,0.706458784780353,-0.000647996406194916,0.00220114833675756,0.00321599152824633,0.00247691156890676,0.00248725417041651
"6094","36","Graph 1","Omnibar",1.07480230740355,0.00261975464989898,0.717127283314268,0.0100205021277206,0.00252186605306039,0.0131019604645646,0.002401639363601,0.00257330073161602
"6095","36","Graph 1","Omnibar",1.13137084989848,0.00258476513885195,0.726414215011572,0.0193074338250245,0.00221420234028453,0.0228543077189834,0.00232118771254638,0.00284350709386036
"6096","36","Graph 1","Omnibar",1.1879393923934,0.00318080231577682,0.738685637550981,0.0315788563644331,0.00218576391040172,0.0324787078730779,0.00223596369811425,0.00329083016321898
"6097","36","Graph 1","Omnibar",1.24450793488832,0.00358491185359178,0.746519264275513,0.0394124830889652,0.0020336016319858,0.0419805732897853,0.00214634963577238,0.00390871816951141
"6098","36","Graph 1","Omnibar",1.30107647738325,0.00433032683374146,0.754921000311236,0.0478142191246883,0.00204617345669445,0.0513650239698212,0.00205270192738898,0.00469106761480928
